backend,executor,solver_p,solver_U,preconditioner,resolution,processes,run_time,success,number_of_iterations
GKO,omp,CG,BiCGStab,none,0,2,1.519496,1,3996
GKO,omp,CG,BiCGStab,none,0,2,1.740833,1,3996
GKO,omp,CG,BiCGStab,none,0,2,1.609153,1,3996
GKO,omp,CG,BiCGStab,none,0,2,1.50835,1,3996
GKO,omp,CG,BiCGStab,none,0,2,1.510147,1,3996
GKO,omp,CG,BiCGStab,none,0,2,1.77285,1,3996
GKO,omp,CG,BiCGStab,none,0,2,1.746848,1,3996
GKO,omp,CG,BiCGStab,none,0,2,1.775521,1,3996
GKO,omp,CG,BiCGStab,none,0,2,1.50128,1,3996
GKO,omp,CG,BiCGStab,none,0,2,1.738098,1,3996
GKO,omp,CG,BiCGStab,none,0,2,1.737041,1,3996
GKO,omp,CG,BiCGStab,none,0,2,1.745351,1,3996
GKO,omp,CG,BiCGStab,none,0,2,1.719491,1,3996
GKO,omp,CG,BiCGStab,none,0,2,1.740487,1,3996
GKO,omp,CG,BiCGStab,none,0,2,1.728707,1,3996
GKO,omp,CG,BiCGStab,none,0,2,1.745932,1,3996
GKO,omp,CG,BiCGStab,none,0,2,1.741777,1,3996
GKO,omp,CG,BiCGStab,none,0,2,1.500262,1,3996
GKO,omp,CG,BiCGStab,none,0,2,1.697727,1,3996
GKO,omp,CG,BiCGStab,none,0,2,1.496242,1,3996
GKO,omp,CG,BiCGStab,none,0,2,1.502337,1,3996
GKO,omp,CG,BiCGStab,none,0,2,1.71424,1,3996
GKO,omp,CG,BiCGStab,none,0,2,1.750956,1,3996
GKO,omp,CG,BiCGStab,none,0,2,1.748221,1,3996
GKO,omp,CG,BiCGStab,none,0,2,1.739,1,3996
GKO,omp,CG,BiCGStab,none,0,2,1.783682,1,3996
GKO,omp,CG,BiCGStab,none,0,2,1.657219,1,3996
GKO,omp,CG,BiCGStab,none,0,2,1.513129,1,3996
GKO,omp,CG,BiCGStab,none,0,2,1.753968,1,3996
GKO,omp,CG,BiCGStab,none,0,2,1.734205,1,3996
GKO,omp,CG,BiCGStab,none,0,2,1.740379,1,3996
GKO,omp,CG,BiCGStab,none,0,2,1.749329,1,3996
GKO,omp,CG,BiCGStab,none,0,2,1.505041,1,3996
GKO,omp,CG,BiCGStab,none,0,2,1.722743,1,3996
GKO,omp,CG,BiCGStab,none,0,2,1.719767,1,3996
GKO,omp,CG,BiCGStab,none,0,2,1.776708,1,3996
GKO,omp,CG,BiCGStab,none,0,4,1.473787,1,3996
GKO,omp,CG,BiCGStab,none,0,4,1.434929,1,3996
GKO,omp,CG,BiCGStab,none,0,4,1.463166,1,3996
GKO,omp,CG,BiCGStab,none,0,4,1.430007,1,3996
GKO,omp,CG,BiCGStab,none,0,4,1.435852,1,3996
GKO,omp,CG,BiCGStab,none,0,4,1.46396,1,3996
GKO,omp,CG,BiCGStab,none,0,4,1.432252,1,3996
GKO,omp,CG,BiCGStab,none,0,4,1.44201,1,3996
GKO,omp,CG,BiCGStab,none,0,4,1.441507,1,3996
GKO,omp,CG,BiCGStab,none,0,4,1.427879,1,3996
GKO,omp,CG,BiCGStab,none,0,4,1.439372,1,3996
GKO,omp,CG,BiCGStab,none,0,4,1.451817,1,3996
GKO,omp,CG,BiCGStab,none,0,4,1.453641,1,3996
GKO,omp,CG,BiCGStab,none,0,4,1.442306,1,3996
GKO,omp,CG,BiCGStab,none,0,4,1.414611,1,3996
GKO,omp,CG,BiCGStab,none,0,4,1.437835,1,3996
GKO,omp,CG,BiCGStab,none,0,4,1.453161,1,3996
GKO,omp,CG,BiCGStab,none,0,4,1.454361,1,3996
GKO,omp,CG,BiCGStab,none,0,4,1.4602,1,3996
GKO,omp,CG,BiCGStab,none,0,4,1.445092,1,3996
GKO,omp,CG,BiCGStab,none,0,4,1.462008,1,3996
GKO,omp,CG,BiCGStab,none,0,4,1.460671,1,3996
GKO,omp,CG,BiCGStab,none,0,4,1.443944,1,3996
GKO,omp,CG,BiCGStab,none,0,4,1.455167,1,3996
GKO,omp,CG,BiCGStab,none,0,4,1.434153,1,3996
GKO,omp,CG,BiCGStab,none,0,4,1.446162,1,3996
GKO,omp,CG,BiCGStab,none,0,4,1.420062,1,3996
GKO,omp,CG,BiCGStab,none,0,4,1.469786,1,3996
GKO,omp,CG,BiCGStab,none,0,4,1.433575,1,3996
GKO,omp,CG,BiCGStab,none,0,4,1.456652,1,3996
GKO,omp,CG,BiCGStab,none,0,4,1.458354,1,3996
GKO,omp,CG,BiCGStab,none,0,4,1.444521,1,3996
GKO,omp,CG,BiCGStab,none,0,4,1.438356,1,3996
GKO,omp,CG,BiCGStab,none,0,4,1.43733,1,3996
GKO,omp,CG,BiCGStab,none,0,4,1.451773,1,3996
GKO,omp,CG,BiCGStab,none,0,4,1.44081,1,3996
GKO,omp,CG,BiCGStab,none,0,4,1.455189,1,3996
GKO,omp,CG,BiCGStab,none,0,4,1.446361,1,3996
GKO,omp,CG,BiCGStab,none,0,4,1.429626,1,3996
GKO,omp,CG,BiCGStab,none,0,4,1.44294,1,3996
GKO,omp,CG,BiCGStab,none,0,4,1.455077,1,3996
GKO,omp,CG,BiCGStab,none,0,4,1.429711,1,3996
GKO,omp,CG,BiCGStab,none,0,8,1.379395,1,3996
GKO,omp,CG,BiCGStab,none,0,8,1.40209,1,3996
GKO,omp,CG,BiCGStab,none,0,8,1.384277,1,3996
GKO,omp,CG,BiCGStab,none,0,8,1.35158,1,3996
GKO,omp,CG,BiCGStab,none,0,8,1.382656,1,3996
GKO,omp,CG,BiCGStab,none,0,8,1.374218,1,3996
GKO,omp,CG,BiCGStab,none,0,8,1.380747,1,3996
GKO,omp,CG,BiCGStab,none,0,8,1.327112,1,3996
GKO,omp,CG,BiCGStab,none,0,8,1.387285,1,3996
GKO,omp,CG,BiCGStab,none,0,8,1.390605,1,3996
GKO,omp,CG,BiCGStab,none,0,8,1.387801,1,3996
GKO,omp,CG,BiCGStab,none,0,8,1.32844,1,3996
GKO,omp,CG,BiCGStab,none,0,8,1.407416,1,3996
GKO,omp,CG,BiCGStab,none,0,8,1.317327,1,3996
GKO,omp,CG,BiCGStab,none,0,8,1.380948,1,3996
GKO,omp,CG,BiCGStab,none,0,8,1.330414,1,3996
GKO,omp,CG,BiCGStab,none,0,8,1.388394,1,3996
GKO,omp,CG,BiCGStab,none,0,8,1.338822,1,3996
GKO,omp,CG,BiCGStab,none,0,8,1.382677,1,3996
GKO,omp,CG,BiCGStab,none,0,8,1.391287,1,3996
GKO,omp,CG,BiCGStab,none,0,8,1.382418,1,3996
GKO,omp,CG,BiCGStab,none,0,8,1.397726,1,3996
GKO,omp,CG,BiCGStab,none,0,8,1.381337,1,3996
GKO,omp,CG,BiCGStab,none,0,8,1.242418,1,3996
GKO,omp,CG,BiCGStab,none,0,8,1.427708,1,3996
GKO,omp,CG,BiCGStab,none,0,8,1.348821,1,3996
GKO,omp,CG,BiCGStab,none,0,8,1.318923,1,3996
GKO,omp,CG,BiCGStab,none,0,8,1.400836,1,3996
GKO,omp,CG,BiCGStab,none,0,8,1.399135,1,3996
GKO,omp,CG,BiCGStab,none,0,8,1.398826,1,3996
GKO,omp,CG,BiCGStab,none,0,8,1.337542,1,3996
GKO,omp,CG,BiCGStab,none,0,8,1.39081,1,3996
GKO,omp,CG,BiCGStab,none,0,8,1.345157,1,3996
GKO,omp,CG,BiCGStab,none,0,8,1.401212,1,3996
GKO,omp,CG,BiCGStab,none,0,8,1.391558,1,3996
GKO,omp,CG,BiCGStab,none,0,8,1.385052,1,3996
GKO,omp,CG,BiCGStab,none,0,8,1.326837,1,3996
GKO,omp,CG,BiCGStab,none,0,8,1.373593,1,3996
GKO,omp,CG,BiCGStab,none,0,8,1.363471,1,3996
GKO,omp,CG,BiCGStab,none,0,8,1.289454,1,3996
GKO,omp,CG,BiCGStab,none,0,8,1.387656,1,3996
GKO,omp,CG,BiCGStab,none,0,8,1.376237,1,3996
GKO,omp,CG,BiCGStab,none,0,8,1.295483,1,3996
GKO,omp,CG,BiCGStab,none,0,8,1.352955,1,3996
GKO,omp,CG,BiCGStab,none,0,16,1.407991,1,3996
GKO,omp,CG,BiCGStab,none,0,16,1.568842,1,3996
GKO,omp,CG,BiCGStab,none,0,16,1.492978,1,3996
GKO,omp,CG,BiCGStab,none,0,16,1.440577,1,3996
GKO,omp,CG,BiCGStab,none,0,16,1.560624,1,3996
GKO,omp,CG,BiCGStab,none,0,16,1.540627,1,3996
GKO,omp,CG,BiCGStab,none,0,16,1.49849,1,3996
GKO,omp,CG,BiCGStab,none,0,16,1.506263,1,3996
GKO,omp,CG,BiCGStab,none,0,16,1.410199,1,3996
GKO,omp,CG,BiCGStab,none,0,16,1.554338,1,3996
GKO,omp,CG,BiCGStab,none,0,16,1.508763,1,3996
GKO,omp,CG,BiCGStab,none,0,16,1.493052,1,3996
GKO,omp,CG,BiCGStab,none,0,16,1.484683,1,3996
GKO,omp,CG,BiCGStab,none,0,16,1.346082,1,3996
GKO,omp,CG,BiCGStab,none,0,16,1.517512,1,3996
GKO,omp,CG,BiCGStab,none,0,16,1.509037,1,3996
GKO,omp,CG,BiCGStab,none,0,16,1.510063,1,3996
GKO,omp,CG,BiCGStab,none,0,16,1.587798,1,3996
GKO,omp,CG,BiCGStab,none,0,16,1.482593,1,3996
GKO,omp,CG,BiCGStab,none,0,16,1.498519,1,3996
GKO,omp,CG,BiCGStab,none,0,16,1.514789,1,3996
GKO,omp,CG,BiCGStab,none,0,16,1.512605,1,3996
GKO,omp,CG,BiCGStab,none,0,16,1.491314,1,3996
GKO,omp,CG,BiCGStab,none,0,16,1.539411,1,3996
GKO,omp,CG,BiCGStab,none,0,16,1.422836,1,3996
GKO,omp,CG,BiCGStab,none,0,16,1.570766,1,3996
GKO,omp,CG,BiCGStab,none,0,16,1.314498,1,3996
GKO,omp,CG,BiCGStab,none,0,16,1.45526,1,3996
GKO,omp,CG,BiCGStab,none,0,16,1.509853,1,3996
GKO,omp,CG,BiCGStab,none,0,16,1.551439,1,3996
GKO,omp,CG,BiCGStab,none,0,16,1.431966,1,3996
GKO,omp,CG,BiCGStab,none,0,16,1.450795,1,3996
GKO,omp,CG,BiCGStab,none,0,16,1.562321,1,3996
GKO,omp,CG,BiCGStab,none,0,16,1.511853,1,3996
GKO,omp,CG,BiCGStab,none,0,16,1.377049,1,3996
GKO,omp,CG,BiCGStab,none,0,16,1.537931,1,3996
GKO,omp,CG,BiCGStab,none,0,16,1.551797,1,3996
GKO,omp,CG,BiCGStab,none,0,16,1.523223,1,3996
GKO,omp,CG,BiCGStab,none,0,16,1.503323,1,3996
GKO,omp,CG,BiCGStab,none,0,16,1.48889,1,3996
GKO,omp,CG,BiCGStab,none,0,16,1.53331,1,3996
GKO,omp,CG,BiCGStab,none,0,32,1.913353,1,3996
GKO,omp,CG,BiCGStab,none,0,32,1.930438,1,3996
GKO,omp,CG,BiCGStab,none,0,32,1.952525,1,3996
GKO,omp,CG,BiCGStab,none,0,32,1.967085,1,3996
GKO,omp,CG,BiCGStab,none,0,32,1.945736,1,3996
GKO,omp,CG,BiCGStab,none,0,32,1.933342,1,3996
GKO,omp,CG,BiCGStab,none,0,32,1.953523,1,3996
GKO,omp,CG,BiCGStab,none,0,32,1.85229,1,3996
GKO,omp,CG,BiCGStab,none,0,32,1.912254,1,3996
GKO,omp,CG,BiCGStab,none,0,32,1.962141,1,3996
GKO,omp,CG,BiCGStab,none,0,32,1.928906,1,3996
GKO,omp,CG,BiCGStab,none,0,32,1.962009,1,3996
GKO,omp,CG,BiCGStab,none,0,32,1.953077,1,3996
GKO,omp,CG,BiCGStab,none,0,32,1.990608,1,3996
GKO,omp,CG,BiCGStab,none,0,32,1.907647,1,3996
GKO,omp,CG,BiCGStab,none,0,32,1.873936,1,3996
GKO,omp,CG,BiCGStab,none,0,32,1.935721,1,3996
GKO,omp,CG,BiCGStab,none,0,32,1.954659,1,3996
GKO,omp,CG,BiCGStab,none,0,32,1.924498,1,3996
GKO,omp,CG,BiCGStab,none,0,32,1.929863,1,3996
GKO,omp,CG,BiCGStab,none,0,32,2.014388,1,3996
GKO,omp,CG,BiCGStab,none,0,32,1.924038,1,3996
GKO,omp,CG,BiCGStab,none,0,32,1.969294,1,3996
GKO,omp,CG,BiCGStab,none,0,32,1.999805,1,3996
GKO,omp,CG,BiCGStab,none,0,32,1.954977,1,3996
GKO,omp,CG,BiCGStab,none,0,32,1.894874,1,3996
GKO,omp,CG,BiCGStab,none,0,32,1.932372,1,3996
GKO,omp,CG,BiCGStab,none,0,32,1.929898,1,3996
GKO,omp,CG,BiCGStab,none,0,32,1.982188,1,3996
GKO,omp,CG,BiCGStab,none,0,32,1.896736,1,3996
GKO,omp,CG,BiCGStab,none,0,32,1.905765,1,3996
GKO,omp,CG,BiCGStab,none,0,64,3.059301,1,3996
GKO,omp,CG,BiCGStab,none,0,64,2.759524,1,3996
GKO,omp,CG,BiCGStab,none,0,64,2.801614,1,3996
GKO,omp,CG,BiCGStab,none,0,64,2.766999,1,3996
GKO,omp,CG,BiCGStab,none,0,64,2.85656,1,3996
GKO,omp,CG,BiCGStab,none,0,64,2.860231,1,3996
GKO,omp,CG,BiCGStab,none,0,64,2.811457,1,3996
GKO,omp,CG,BiCGStab,none,0,64,3.061029,1,3996
GKO,omp,CG,BiCGStab,none,0,64,2.738204,1,3996
GKO,omp,CG,BiCGStab,none,0,64,2.976328,1,3996
GKO,omp,CG,BiCGStab,none,0,64,3.033103,1,3996
GKO,omp,CG,BiCGStab,none,0,64,2.704556,1,3996
GKO,omp,CG,BiCGStab,none,0,64,3.096802,1,3996
GKO,omp,CG,BiCGStab,none,0,64,2.77155,1,3996
GKO,omp,CG,BiCGStab,none,0,64,3.055341,1,3996
GKO,omp,CG,BiCGStab,none,0,64,2.981132,1,3996
GKO,omp,CG,BiCGStab,none,0,64,2.994881,1,3996
GKO,omp,CG,BiCGStab,none,0,64,2.752892,1,3996
GKO,omp,CG,BiCGStab,none,0,64,3.096998,1,3996
GKO,omp,CG,BiCGStab,none,0,64,2.877316,1,3996
GKO,omp,CG,BiCGStab,none,0,64,2.740815,1,3996
GKO,omp,CG,BiCGStab,none,0,None,3.021146,1,3996
GKO,omp,CG,BiCGStab,none,0,None,2.717159,1,3996
GKO,omp,CG,BiCGStab,none,0,None,2.934303,1,3996
GKO,omp,CG,BiCGStab,none,0,None,2.982191,1,3996
GKO,omp,CG,BiCGStab,none,0,None,3.030578,1,3996
GKO,omp,CG,BiCGStab,none,0,None,3.023081,1,3996
GKO,omp,CG,BiCGStab,none,0,None,2.861057,1,3996
GKO,omp,CG,BiCGStab,none,0,None,2.725439,1,3996
GKO,omp,CG,BiCGStab,none,0,None,2.932138,1,3996
GKO,omp,CG,BiCGStab,none,0,None,3.031471,1,3996
GKO,omp,CG,BiCGStab,none,0,None,2.977722,1,3996
GKO,omp,CG,BiCGStab,none,0,None,2.94817,1,3996
GKO,omp,CG,BiCGStab,none,0,None,3.058872,1,3996
GKO,omp,CG,BiCGStab,none,0,None,2.86841,1,3996
GKO,omp,CG,BiCGStab,none,0,None,2.819581,1,3996
GKO,omp,CG,BiCGStab,none,0,None,2.870859,1,3996
GKO,omp,CG,BiCGStab,none,0,None,3.095697,1,3996
GKO,omp,CG,BiCGStab,none,0,None,3.037037,1,3996
GKO,omp,CG,BiCGStab,none,0,None,2.977289,1,3996
GKO,omp,CG,BiCGStab,none,0,None,2.987924,1,3996
